Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Genre_Group
Chocolate: Deep Dark Secrets,49000,1549000,NA,1000000,Sep 16 2005,Not Rated,NA,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.6,527,Thriller/Suspense
Child's Play,33244684,44196684,NA,9000000,Nov 09 1988,NA,NA,United Artists,Original Screenplay,Horror,Fantasy,NA,70,6.3,16165,Horror
Child's Play 2,26904572,34166572,NA,13000000,Nov 09 1990,NA,NA,Universal,Original Screenplay,Horror,Fantasy,NA,38,5.1,8666,Horror
Chain Reaction,21226204,60209334,NA,55000000,Aug 02 1996,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817,Action
Charly,814666,814666,NA,950000,Sep 27 2002,PG,NA,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,5.8,60,Drama
Chariots of Fire,57159946,57159946,NA,5500000,Sep 25 1981,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138,Drama
A Christmas Story,19294144,19294144,NA,3250000,Nov 18 1983,PG,NA,MGM,Based on Book/Short Story,Comedy,Historical Fiction,NA,88,8,51757,Comedy
Cat on a Hot Tin Roof,17570324,17570324,NA,3000000,Sep 20 1958,NA,NA,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540,Drama
C.H.U.D.,4700000,4700000,NA,1250000,Aug 31 1984,NA,NA,New World,Original Screenplay,Horror,Fantasy,NA,NA,5,2806,Horror
"Charge of the Light Brigade, The",0,0,NA,1200000,Oct 20 2036,NA,NA,Warner Bros.,Based on Real Life Events,Action,Dramatization,Michael Curtiz,NA,NA,NA,Action
Crooklyn,13024170,13024170,NA,14000000,May 13 1994,PG-13,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137,Comedy
Festen,1647780,1647780,NA,1300000,Oct 09 1998,R,NA,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,NA,8.1,26607,Comedy
Cleopatra,48000000,62000000,NA,36000000,Jun 12 1963,NA,NA,20th Century Fox,Based on Real Life Events,Drama,Dramatization,NA,40,6.8,7870,Drama
Cliffhanger,84049211,255000000,NA,65000000,May 28 1993,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447,Action
The Californians,4134,4134,NA,500000,Oct 21 2005,PG,NA,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.1,226,Drama
The Client,92115211,117615211,NA,45000000,Jul 20 1994,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299,Drama
The Calling,32092,32092,NA,160000,Mar 01 2002,PG,NA,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,NA,3.4,1113,Drama
Clueless,56598476,56598476,NA,13700000,Jul 01 1995,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055,Comedy
The Color Purple,93589701,93589701,NA,15000000,Dec 18 1985,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88,7.7,26962,Drama
Clerks,3073428,3073428,NA,27000,Oct 19 1994,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991,Comedy
Central do Brasil,5969553,17006158,NA,2900000,Nov 20 1998,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,NA,8,17343,Drama
Clash of the Titans,30000000,30000000,NA,15000000,Jun 12 1981,NA,108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,NA,65,5.9,45773,Adventure
Clockwatchers,444354,444354,NA,2000000,May 15 1998,PG-13,NA,Artistic License,NA,NA,NA,NA,NA,5.9,3171,Other
Commando,35073978,35073978,NA,10000000,Oct 04 1985,NA,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,NA,71,4.5,49,Action
The Color of Money,52293000,52293000,NA,10000000,Oct 17 1986,NA,NA,Walt Disney Pictures,NA,Drama,Contemporary Fiction,Martin Scorsese,91,6.9,25824,Drama
Cinderella,85000000,85000000,NA,2900000,Feb 15 1950,NA,NA,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,NA,92,5.1,373,Drama
Congo,81022333,152022333,NA,50000000,Jun 09 1995,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954,Adventure
Conan the Barbarian,38264085,38264085,NA,20000000,May 14 1982,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886,Action
Conan the Destroyer,26400000,26400000,NA,18000000,Jun 29 1984,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368,Action
Class of 1984,6965361,6965361,NA,3250000,Aug 20 1982,NA,NA,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.3,2945,Drama
The Clan of the Cave Bear,1953732,1953732,NA,15000000,Jan 17 1986,NA,NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,NA,13,4.9,2763,Adventure
The Case of the Grinning Cat,7033,7033,NA,200000,Jul 21 2006,Not Rated,NA,First Run/Icarus,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA,Other
Bacheha-Ye aseman,925402,925402,NA,180000,Jan 22 1999,PG,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,8,6657,Comedy
Coming Home,32653000,32653000,NA,3000000,Dec 31 1977,NA,NA,NA,NA,NA,NA,Hal Ashby,81,7.3,4410,Other
Nanjing! Nanjing!,0,20000000,NA,12000000,Nov 17 2009,R,NA,National Geographic Entertainment,NA,NA,NA,NA,NA,7.6,1725,Other
Cool Runnings,68856263,155056263,NA,14000000,Oct 01 1993,NA,NA,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73,6.5,24533,Comedy
Conquest of the Planet of the Apes,9700000,9700000,NA,1700000,Dec 31 1971,NA,NA,NA,NA,NA,NA,Jack Lee Thompson,44,5.8,6188,Other
Cure,94596,94596,NA,10000,Jul 06 2001,Not Rated,NA,NA,NA,NA,NA,NA,NA,7.4,2724,Other
Crocodile Dundee,174803506,328000000,NA,5000000,Sep 26 1986,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,88,6.5,27277,Comedy
Dayereh,673780,673780,NA,10000,Mar 09 2001,Not Rated,NA,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,1851,Drama
Karakter,713413,713413,NA,4500000,Mar 27 1998,R,NA,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,7.8,5531,Drama
Creepshow,20036244,20036244,NA,8000000,Nov 10 1982,NA,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530,Horror
Creepshow 2,14000000,14000000,NA,3500000,May 01 1987,NA,NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,26,5.4,5910,Horror
The Crying Game,62546695,62546695,NA,4000000,Nov 25 1992,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195,Drama
Crimson Tide,91387195,159387195,NA,55000000,May 12 1995,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354,Action
Caravans,1000000,1000000,NA,14000000,Dec 31 1977,NA,NA,Universal,Based on Book/Short Story,Adventure,Historical Fiction,NA,NA,5.8,173,Adventure
Crying With Laughter,0,0,NA,820000,Dec 31 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
Fengkuang de Shitou,0,3000000,NA,500000,Jun 30 2006,NA,NA,NA,Original Screenplay,Black Comedy,Contemporary Fiction,NA,NA,7.6,1209,Other
Casablanca,10462500,10462500,NA,950000,Dec 31 1941,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939,Drama
Casino,42438300,110400000,NA,52000000,Nov 22 1995,R,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634,Drama
Casper,100328194,282300000,NA,55000000,May 26 1995,PG,NA,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121,Comedy
Can't Stop the Music,2000000,2000000,NA,20000000,Dec 31 1979,NA,NA,NA,Original Screenplay,Musical,Contemporary Fiction,NA,NA,3.5,2146,Musical
Catch-22,24911670,24911670,NA,18000000,Jun 24 1970,NA,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87,7.1,9671,Comedy
City Hall,20278055,20278055,NA,40000000,Feb 16 1996,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908,Drama
Cutthroat Island,10017322,10017322,NA,92000000,Dec 22 1995,PG-13,NA,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346,Adventure
La femme de chambre du Titanic,244465,244465,NA,10000000,Aug 14 1998,NA,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.8,822,Drama
Cat People,4000000,8000000,NA,134000,Nov 16 2042,NA,NA,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,NA,91,5.9,6791,Drama
Courage Under Fire,59003384,100833145,NA,46000000,Jul 12 1996,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682,Drama
C'era una volta il West,5321508,5321508,NA,5000000,May 28 1969,PG-13,NA,Paramount Pictures,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.8,74184,Other
The Conversation,4420000,4420000,NA,1600000,Apr 07 1974,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98,8.1,33005,Thriller/Suspense
Cavite,70071,71644,NA,7000,May 26 2006,Not Rated,NA,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,6,487,Thriller/Suspense
Copycat,32051917,32051917,NA,20000000,Oct 27 1995,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182,Thriller/Suspense
Dark Angel,4372561,4372561,NA,7000000,Sep 28 1990,NA,NA,Triumph Releasing,Original Screenplay,Action,Science Fiction,NA,NA,5.3,3396,Action
"Boot, Das",11487676,84970337,NA,12000000,Feb 10 1982,R,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,NA,4.3,2184,Drama
Desperado,25532388,25532388,NA,7000000,Aug 25 1995,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515,Action
Dumb & Dumber,127175374,246400000,NA,16000000,Dec 16 1994,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,NA,7.2,88093,Comedy
Diamonds Are Forever,43800000,116000000,NA,7200000,Dec 17 1971,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,67,6.7,25354,Action
The Dark Half,9579068,9579068,NA,15000000,Apr 23 1993,NA,NA,Orion Pictures,Based on Book/Short Story,Horror,Fantasy,George A. Romero,NA,5.7,5488,Horror
The Dark Hours,423,423,NA,400000,Oct 13 2005,R,NA,Freestyle Releasing,NA,Horror,NA,NA,NA,6.3,2804,Horror
Dante's Peak,67163857,178200000,NA,115000000,Feb 07 1997,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472,Drama
Daylight,32908290,158908290,NA,80000000,Dec 06 1996,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052,Action
Dick Tracy,103738726,162738726,NA,47000000,Jun 15 1990,NA,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65,5.9,25364,Action
Decoys,84733,84733,NA,5000000,Feb 27 2004,R,NA,NA,NA,NA,NA,NA,NA,4.4,2486,Other
Dawn of the Dead,5100000,55000000,NA,1500000,Apr 20 1979,NA,NA,United Film Distribution Co.,NA,Horror,NA,NA,NA,7.4,73875,Horror
The Addams Family,113502246,191502246,NA,30000000,Nov 22 1991,NA,NA,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907,Comedy
Death Becomes Her,58422650,149022650,NA,55000000,Jul 31 1992,NA,NA,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53,6,27681,Comedy
Def-Con 4,210904,210904,NA,1300000,Mar 15 1985,NA,NA,New World,Original Screenplay,Action,Science Fiction,NA,NA,3.8,639,Action
Dead Poets' Society,95860116,239500000,NA,16400000,Jun 02 1989,NA,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662,Drama
The Day the Earth Stood Still,3700000,3700000,NA,1200000,Mar 04 2003,NA,NA,NA,NA,NA,NA,NA,94,5.5,51517,Other
Deep Throat,45000000,45000000,NA,25000,Jun 30 1972,NA,NA,NA,NA,NA,NA,NA,NA,5.2,3075,Other
The Dead Zone,20766000,20766000,NA,10000000,Oct 21 1983,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,NA,7.3,19485,Horror
Die Hard 2,117323878,239814025,NA,70000000,Jul 03 1990,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,NA,7,79636,Action
Die Hard: With a Vengeance,100012499,364480746,NA,90000000,May 19 1995,R,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,NA,7.4,87437,Action
Dragonheart,51364680,104364680,NA,57000000,May 31 1996,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309,Adventure
Die Hard,81350242,139109346,NA,28000000,Jul 15 1988,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94,7.3,237,Action
Diner,12592907,12592907,NA,5000000,Apr 02 1982,NA,NA,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803,Comedy
Dil Jo Bhi Kahey...,129319,129319,NA,1600000,Sep 23 2005,Not Rated,NA,Eros Entertainment,Original Screenplay,Drama,NA,NA,NA,5,159,Drama
Don Juan DeMarco,22032635,22032635,NA,25000000,Apr 07 1995,PG-13,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,73,6.6,20386,Drama
Tales from the Crypt: Demon Knight,21089146,21089146,NA,12000000,Jan 13 1995,R,NA,Universal,Original Screenplay,Horror,Fantasy,NA,NA,6.4,6430,Horror
Damnation Alley,NA,NA,NA,17000000,Oct 21 1977,NA,NA,NA,NA,NA,NA,NA,NA,4.7,1655,Other
Dead Man Walking,39387284,83088295,NA,11000000,Dec 29 1995,R,NA,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94,7.6,32159,Drama
Dances with Wolves,184208842,424200000,NA,19000000,Nov 09 1990,NA,NA,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399,Other
Dangerous Liaisons,34700000,34700000,NA,14000000,Dec 21 1988,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93,7.7,25761,Drama
Donovan's Reef,6600000,6600000,NA,2686000,Dec 31 1962,NA,NA,NA,NA,NA,NA,John Ford,60,6.6,2907,Other
Due occhi diabolici,349618,349618,NA,9000000,Oct 25 1991,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2059,Other
Double Impact,29090445,29090445,NA,16000000,Aug 09 1991,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8,4.7,10426,Action
The Doors,34167219,34167219,NA,40000000,Mar 01 1991,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,57,7,29750,Drama
Day of the Dead,5804262,34004262,NA,3500000,Jul 03 1985,NA,NA,United Film Distribution Co.,NA,Horror,NA,George A. Romero,78,4.5,8395,Horror
Days of Thunder,82670733,157670733,NA,60000000,Jun 27 1990,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,40,5.4,25395,Action
Dracula: Pages from a Virgin's Diary,39659,84788,NA,1100000,May 14 2003,Not Rated,NA,NA,NA,NA,NA,NA,NA,7,1013,Other
Dolphin,14000,14000,NA,170000,Jun 01 1979,NA,NA,NA,Based on Real Life Events,Documentary,Factual,NA,NA,5.8,134,Other
Death Race 2000,NA,NA,NA,300000,Apr 01 1975,R,NA,NA,Based on Book/Short Story,NA,Science Fiction,NA,84,6.1,10015,Other
Drei,0,0,NA,7200000,Dec 31 1969,NA,NA,NA,NA,NA,NA,Tom Tykwer,NA,NA,NA,Other
The Dress,16556,16556,NA,2650000,Jan 16 1998,Not Rated,NA,Attitude Films,Original Screenplay,Drama,NA,NA,NA,7.6,1844,Drama
The Deer Hunter,50000000,50000000,NA,15000000,Dec 31 1978,NA,NA,Universal,Original Screenplay,Drama,NA,Michael Cimino,NA,8.2,88095,Drama
Dragonslayer,6000000,6000000,NA,18000000,Jun 26 1981,NA,NA,Paramount Pictures,Original Screenplay,Action,Fantasy,NA,82,6.8,4945,Action
Driving Miss Daisy,106593296,106593296,NA,7500000,Dec 13 1989,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Bruce Beresford,78,7.5,22566,Drama
Dressed to Kill,31899000,31899000,NA,6500000,Jan 01 1980,NA,NA,NA,NA,NA,NA,Brian De Palma,84,7.1,9556,Other
Do the Right Thing,26004026,26004026,NA,6000000,Jun 30 1989,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,98,7.9,26877,Comedy
Dune,27447471,27447471,NA,45000000,Dec 14 1984,NA,NA,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62,6.5,38489,Action
Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,NA,6000000,Feb 15 2008,Not Rated,NA,3D Entertainment,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA,Other
Down & Out with the Dolls,58936,58936,NA,1200000,Mar 21 2003,R,NA,Indican Pictures,NA,NA,NA,NA,NA,5.8,75,Other
Dream With The Fishes,542909,542909,NA,1000000,Jun 20 1997,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,NA,58,6.6,1188,Drama
Doctor Zhivago,111721000,111721000,NA,11000000,Dec 22 1965,PG-13,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84,8,27671,Drama
The Evil Dead,2400000,29400000,NA,375000,Apr 15 1983,NC-17,NA,New Line,NA,Horror,NA,Sam Raimi,NA,7.6,45030,Horror
Evil Dead II,5923044,5923044,NA,3500000,Mar 13 1987,NA,NA,Rosebud Releasing,NA,Horror,Fantasy,Sam Raimi,NA,7.9,44214,Horror
Army of Darkness,11502976,21502976,NA,11000000,Feb 19 1993,R,NA,Universal,NA,Horror,Fantasy,Sam Raimi,NA,7.6,55671,Horror
Ed and his Dead Mother,673,673,NA,1800000,Dec 31 1992,NA,NA,NA,NA,NA,NA,NA,50,5.6,829,Other
Edward Scissorhands,53976987,53976987,NA,20000000,Dec 07 1990,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Tim Burton,91,8,102485,Comedy
Ed Wood,5828466,5828466,NA,18000000,Sep 30 1994,R,NA,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91,8.1,74171,Comedy
The Egyptian,15000000,15000000,NA,5000000,Dec 31 1953,NA,NA,NA,NA,NA,NA,Michael Curtiz,NA,6.2,1097,Other
Everyone Says I Love You,9725847,34600000,NA,20000000,Dec 06 1996,R,NA,Miramax,Original Screenplay,Musical,Contemporary Fiction,Woody Allen,80,6.8,16481,Musical
The Elephant Man,26010864,26010864,NA,5000000,Oct 03 1980,NA,NA,NA,NA,NA,NA,David Lynch,91,8.4,58194,Other
Emma,22231658,37831658,NA,5900000,Aug 02 1996,PG,111,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,NA,NA,6.8,13798,Romantic Comedy
Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926,23000000,May 21 1980,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,NA,NA,NA,NA,Adventure
Escape from New York,25244700,25244700,NA,6000000,Jul 10 1981,NA,NA,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82,7.1,34497,Action
Escape from L.A.,25426861,25426861,NA,50000000,Aug 09 1996,R,101,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262,Action
Escape from the Planet of the Apes,12300000,12300000,NA,2500000,Dec 31 1970,NA,NA,NA,NA,NA,Science Fiction,NA,78,6.1,7686,Other
Eraser,101295562,234400000,NA,100000000,Jun 21 1996,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287,Action
Eraserhead,7000000,7000000,NA,100000,Dec 31 1976,NA,NA,NA,NA,NA,NA,David Lynch,90,7.4,26595,Other
Everything You Always Wanted to Know,18016290,18016290,NA,2000000,Aug 11 1972,NA,NA,MGM,Based on Book/Short Story,Comedy,NA,Woody Allen,NA,NA,NA,Comedy
ET: The Extra-Terrestrial,435110554,792910554,NA,10500000,Jun 11 1982,PG,NA,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,NA,7.9,105028,Drama
Excessive Force,1152117,1152117,NA,13000000,May 14 1993,NA,NA,NA,NA,NA,NA,NA,NA,4.7,537,Other
Exorcist II: The Heretic,25011000,25011000,NA,14000000,Jun 17 1977,NA,NA,NA,NA,Horror,NA,John Boorman,NA,3.5,7849,Horror
Exotica,5046118,5046118,NA,1500000,Sep 23 1994,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96,7.1,8402,Drama
Force 10 from Navarone,7100000,7100000,NA,5000000,Dec 22 1978,NA,NA,Sony/Columbia,NA,Action,NA,Guy Hamilton,64,6,5917,Action
A Farewell To Arms,11000000,11000000,NA,5000000,Dec 31 1956,NA,NA,NA,NA,NA,NA,John Huston,NA,6.6,1655,Other
Fatal Attraction,156645693,320100000,NA,14000000,Sep 18 1987,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81,6.8,22328,Thriller/Suspense
Family Plot,13200000,13200000,NA,3000000,Apr 09 1976,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,95,6.8,7290,Other
Fabled,31425,31425,NA,400000,Dec 10 2004,R,NA,Indican Pictures,Original Screenplay,Horror,NA,Ari S. Kirschenbaum,NA,5.4,146,Horror
Fetching Cody,0,0,NA,1500000,Mar 17 2006,NA,NA,NA,Original Screenplay,Comedy,Science Fiction,NA,NA,6.7,535,Comedy
The French Connection,41158757,41158757,NA,2200000,Oct 09 1971,NA,NA,NA,NA,NA,NA,William Friedkin,98,7.9,33674,Other
From Dusk Till Dawn,25728961,25728961,NA,20000000,Jan 19 1996,R,107,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234,Horror
Friday the 13th,39754601,59754601,NA,550000,May 09 1980,NA,NA,Paramount Pictures,NA,Horror,NA,NA,60,5.6,26798,Horror
Friday the 13th Part 3,36690067,36690067,NA,2250000,Aug 13 1982,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395,Horror
Friday the 13th Part IV: The Final Chapter,32980880,32980880,NA,2600000,Apr 13 1984,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA,Horror
Friday the 13th Part V: A New Beginning,21930418,21930418,NA,2200000,Mar 22 1985,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,NA,NA,NA,NA,Horror
Friday the 13th Part VI: Jason Lives,19472057,19472057,NA,3000000,Aug 01 1986,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA,Horror
Friday the 13th Part VII: The New Blood,19170001,19170001,NA,2800000,May 13 1988,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,4.6,8916,Horror
Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,NA,5000000,Jul 28 1989,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,3.9,10113,Horror
Jason Goes to Hell: The Final Friday,15935068,15935068,NA,3000000,Aug 13 1993,NA,NA,New Line,NA,Horror,Fantasy,NA,NA,4.1,8733,Horror
